ht,en,pronunciation
Pa gen anyen nouvo.,Nothing new.,pah gehn ahn-yen noo-voh
Mwen kontan anpil.,I am very happy.,mwen kon-tahn ahn-peel
Mwen tris jodi a.,I am sad today.,mwen trees zho-dee ah
Piga ou fè sa.,Don't you dare do that.,pee-gah oo feh sah
"Dousman, dousman.","Slowly, slowly.","doos-mahn, doos-mahn"
"Vit, vit!","Quickly, quickly!","veet, veet"
Koute byen.,Listen carefully.,koo-teh byen
Gade sa a.,Look at this.,gah-deh sah ah
Mwen kwè sa.,I believe so.,mwen kweh sah
Se pa posib.,It is not possible.,seh pah poh-seeb
Se yon bèl kado.,It's a beautiful gift.,seh yon bel kah-doh
Mwen renmen mizik sa a.,I love this music.,mwen rahn-mahn mee-zeek sah ah
Kisa ou vle manje?,What do you want to eat?,kee-sah oo vleh mahn-zhe
N a wè demen.,See you tomorrow.,nah weh deh-mehn
Pase yon bon jounen!,Have a nice day!,pah-seh yon bon zhoo-neh
Bòn nwit.,Good night.,bon nwee
Kisa ou panse?,What do you think?,kee-sah oo pahn-seh
Se yon bon lide.,That is a good idea.,seh yon bon lee-deh
Mwen pè tande sa.,I'm afraid to hear that.,mwen peh tahn-deh sah
Pa bay kò ou pwoblèm.,Don't worry yourself.,pah bay koh oo pwoh-blem
Tout bagay ap mache byen.,Everything will go well.,toot bah-gay ahp mah-zhe byen
"Chita la, silvouplè.","Sit here, please.","shee-tah lah, seel-voo-pleh"
Kanpe la.,Stand / Stop there.,kahn-peh lah
Mwen bliye.,I forgot.,mwen blee-yeh
Mwen sonje kounye a.,I remember now.,mwen sohn-zhe koon-yeh ah
Nou fini!,We are done!,noo fee-nee
